"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC No.","Manufacturer","Manufacturer Part No.","LCSC N0."
"3V3","1","LED","","","","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","C22355736","XINGLIGHT","XL-1005UBC",""
"C1,C2,C5,C6,C8,C10,C11,C12","8","1u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","YAGEO","CC0402KRX5R8BB105","C326568"
"C3,C4,C7,C9,C13","5","100n","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","YAGEO","CC0402JRX7R8BB104","C541465"
"CAN1,IMU2,USB1","3","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","C2988369","G-Switch","GT-USB-7010ASV",""
"IMU1","1","BMI270","","","","Libraries:XDCR_BMI270","","C2836813","Bosch Sensortec","BMI270",""
"JP1","1","Jumper_2_Open","","Excluded from BOM","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~","","","",""
"MH1,MH2,MH3","3","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~","","","",""
"NT1","1","NetTie_2","","Excluded from BOM","","NetTie:NetTie-2_SMD_Pad0.5mm","~","","","",""
"R1,R2","2","330R","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","C105875","YAGEO","RC0402FR-07330RL",""
"R3,R4,R5,R7,R8,R9,R10","7","5k1","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","C105872","YAGEO","RC0402FR-075K1L",""
"R6","1","120R","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","C114758","YAGEO","RC0402FR-07120RL",""
"STATUS1","1","LED_RGB","","","","LED_SMD:LED_SK6812_EC15_1.5x1.5mm","~","C2827305","TUOZHAN","P4-1615RGYTCA1-0.6T-C",""
"U1","1","TLV75533PDBV","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv755p.pdf","C404027","Texas Instruments ","TLV75533PDBVR",""
"U2","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","C7519","STMicroelectronics","USBLC6-2SC6",""
"U3","1","SN65HVD232","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf","C30530","Texas Instruments ","SN65HVD232DR",""
"U4","1","INMP441 Module","","Excluded from BOM","","Library:INMP441_Module","","","","",""
"U5","1","ESP32-S3-MINI-1U","","","","RF_Module:ESP32-S2-MINI-1U","https://www.espressif.com/sites/default/files/documentation/esp32-s3-mini-1_mini-1u_datasheet_en.pdf","C2980299","ESPRESSIF","ESP32-S3-MINI-1U-N8",""
